key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_100_000","啊？！<hex:02100103>我現在正忙著調整接下來要用到的重要道具呢！<hex:02100103>快走開！去去去！"
1,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_000","哦，是你啊。<hex:02100103>聽說你是很厲害的冒險者，卻要跑來這座島真是辛苦你了。<hex:02100103>你是不是像我一樣因為欠債被脅迫才到這裡來的？"
2,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_001","哦，是你啊。<hex:02100103>你居然還敢接受羅薇娜的委託，你可真是個好事之徒。<hex:02100103>你又不像我背著一身債。"
3,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_002","招呼就先打到這，來談談工作的事情吧。<hex:02100103>我想你也聽說了，<hex:02100103>這座島嶼的屬性之力簡直是一團糟，魔物受此影響變得十分凶暴。"
4,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_003","簡單來說，就是這座島嶼的魔物擁有很強的屬性乙太之力。"
5,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_004","要是被那樣的魔物襲擊了，<hex:02100103>我敢保證你不僅會遍體鱗傷，<hex:02100103>就連構建生命的乙太都會被扭曲而受到巨大的傷害。"
6,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_005","不過理論上只要能夠強化屬性之力展開障壁，<hex:02100103>就能與魔物的屬性之力中和，從而防住致命的攻擊。<hex:02100103>反過來，如果將屬性之力賦予到攻擊中的話，也能增強攻擊的威力。"
7,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_006","因此我和可露兒小姐發明了將優雷卡的環境乙太進行轉換，<hex:02100103>並且可以將轉換的乙太用在戰鬥上的魔具……<hex:02100103>名字就叫魔素板！"
8,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_007","只要有了這個，和優雷卡的魔物的戰鬥就會變得輕鬆很多……<hex:02100103>但是想要將徹底混亂的優雷卡的環境乙太進行轉換，<hex:02100103>必須得有一種特殊的水晶。"
9,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_008","這種可以在優雷卡找到的高純度並且擁有均等晶形的乙太結晶……<hex:02100103>我將其稱為魔素石。"
10,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_009","調查隊所持有的唯一的魔素石<hex:02100103>是之前那個近乎全滅的調查隊的倖存者拿回來的。<hex:02100103>連同魔素板，你就一起拿去吧。"
11,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_010","你的話，沒準在探索的時候順便能夠找到魔素石。<hex:02100103>魔素板最多能夠嵌入5個魔素石。<hex:02100103>希望你能充分地使用它。"
12,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_011","你先試著使用魔素融合器將魔素石嵌入魔素板。<hex:02100103>至於使用方法……別問我，問調查隊的技師去。"
13,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_020","在設計魔素板的時候，<hex:02100103>我參考了屬性轉換裝置，<hex:02100103>發明那種裝置的名叫西德的機械師，可真是個了不起的傢伙。"
14,"TEXT_CTSERKEUREKA1EVENTGEROLTINIT_00461_GEROLT_000_021","那種從理論上來說絕對會令人捧腹大笑的行不通的設計方案，<hex:02100103>他卻能完美地實現了，讓人笑不出來。<hex:02100103>能夠想到那種方案的人要不就是蠢貨，要不就是像我一樣的天才。"
