key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_000","小莉拜託我在此負責回答有關「戀人節」活動的疑問。<hex:02100103>您有什麼不明白的，請儘管開口。"
1,"TEXT_FESVLT2021VLTGUIDE_00695_Q1_000_001","想了解什麼？"
2,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_001","你們在這裡是做什麼的？"
3,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_002","什麼是「戀人節」？"
4,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_003","「莉賽特·德·瓦倫提昂」是什麼人？"
5,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_004","「阿絲特麗德」是什麼人？"
6,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_005","關於「女兒節」"
7,"TEXT_FESVLT2021VLTGUIDE_00695_A1_000_006","取消"
8,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_010","我們是「愛情傳道士」。<hex:02100103>值此「戀人節」之際，為了讓大家體會「愛」的美好，<hex:02100103>從伊修加德遠道而來。"
9,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_011","我們會幫大家轉達一些不敢說出口的心裡話，<hex:02100103>希望我們的活動能加深他們和心上人之間的感情。"
10,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_012","活動在格里達尼亞舉辦中，<hex:02100103>如果有興趣的話，請前往參加！"
11,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_020","「戀人節」，<hex:02100103>是為了紀念古伊修加德貴族「阿拉貝爾·德·瓦倫提昂伯爵」的節日。<hex:02100103>她一生都貫徹著對愛情的執著。"
12,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_021","在這個節日裡，我們感服於她的勇氣，讚美她的愛情，<hex:02100103>將自己的「愛」與禮物一起傳達給心上人。"
13,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_030","帶領我們「愛情傳道士」在世界各地播撒愛情之花的，<hex:02100103>正是這位名門偶像「莉賽特·德·瓦倫提昂」。"
14,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_031","她是瓦倫提昂伯爵家的大小姐，<hex:02100103>更是如假包換的伯爵後代。<hex:02100103>如果您見到她，請不要太拘謹，輕鬆地向她問好吧。"
15,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_032","她是瓦倫提昂伯爵家的大小姐，<hex:02100103>更是如假包換的伯爵後代。<hex:02100103>她現在在格里達尼亞，見到她的話請輕鬆地向她問好吧。"
16,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_040","阿絲特麗德小姐是純真的新一代愛情傳道士，<hex:02100103>人們都喜歡叫她「阿絲」。"
17,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_041","她是莉賽特·德·瓦倫提昂大小姐的親戚，<hex:02100103>為了舉辦戀人節的活動而特意前來。<hex:02100103>如果您見到她，請不要太拘謹，輕鬆地向她問好吧。"
18,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_042","她是莉賽特·德·瓦倫提昂大小姐的親戚，<hex:02100103>為了舉辦戀人節的活動而特意前來。<hex:02100103>她現在在格里達尼亞，見到她的話請輕鬆地向她問好吧。"
19,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_050","現在正在舉辦的是戀人節活動，<hex:02100103>但今年女兒節和戀人節的日程安排較近，<hex:02100103>烏爾達哈開始先行籌備女兒節活動。"
20,"TEXT_FESVLT2021VLTGUIDE_00695_MAIDVLT00695_000_051","聽說小黃鶯也會在近期舉辦公演，<hex:02100103>在享受戀人節氣氛的同時，也請前往烏爾達哈為她們聲援。"
