key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_000","歡迎您來到永結同心典禮的會場。<hex:02100103>我會為各位來賓講解有關典禮的各種事宜。"
1,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_Q1_000_020","想了解什麼？"
2,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_A1_000_020","來賓指南：關於典禮的流程"
3,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_A1_000_021","來賓指南：關於中途入場或提前退場"
4,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_A1_000_022","來賓指南：典禮延期了怎麼辦？"
5,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_A1_000_023","取消"
6,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_040","下面我為您講解一下今天這場典禮的流程。"
7,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_041","在兩位新人最終定下會場內飾等方案前，<hex:02100103>各位來賓會在休息室內進行等待。<hex:02100103>當方案定下後，會自動轉移到會場。"
8,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_042","在典禮開始時的裝備會反映到過場動畫中，<hex:02100103>因此，請各位來賓在典禮開始前盡量提前換好服裝。"
9,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_043","典禮最遲會在開場40分鐘（地球時間）後舉行。<hex:02100103>時間完全由新人控制，有可能開場後馬上舉行典禮，<hex:02100103>也有可能在來賓到齊後才開始。"
10,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_044","善用聊天等手段將來賓到齊、服裝換好等資訊告知新人，<hex:02100103>以便新人順利開始舉辦典禮。"
11,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_045","典禮分為「入場」、「問候」、「誓約儀式」、「暢談（自由時間）」、<hex:02100103>「結束」這幾個步驟，可以盡情按下快門截圖，記錄這一美好時光。"
12,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_046","典禮最長經過約1個半小時（地球時間）後結束。<hex:02100103>在會場內基本上可以自由行動，也可以中途入場或提前退場。"
13,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_060","下面為您講解一下中途入場或提前退場的相關事宜。"
14,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_061","選中門前的<hex:02280CFF05>EObj<hex:F61E972F0103>，<hex:02100103>按下確定鍵後就可以提前退場。<hex:02100103>登出遊戲後也會退場。"
15,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_062","如果想要重新進入會場，<hex:02100103>和十二神大聖堂的祭司埃圖瓦妮勒對話即可。"
16,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_063","另外，只有持有新人贈予的<hex:02280BFF05>Item<hex:F221FB0103>的來賓才可入場。<hex:02100103>在臨時退場時請注意不要遺失。"
17,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_080","因為一些突發情況，例如兩位新人未同時到達會場，<hex:02100103>或未在規定時間內準備完畢時，<hex:02100103>典禮將會被延期。"
18,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_081","如果典禮被延期，<hex:02100103>兩位新人需要重新預約會場，<hex:02100103>並向來賓發放新的請柬。"
19,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_082","當典禮確定要延期後，<hex:02100103>來賓所持的<hex:02280BFF05>Item<hex:F221FB0103>會被自動丟棄。"
20,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_SYSTEM_000_083","持有新人發放的新請柬，<hex:02100103>方可參加重新舉辦的典禮。"
21,"TEXT_REGFSTETERNALCEREMONYGUIDEHALL_00017_HALL00017_000_500","您不需要聽取相關講解嗎？<hex:02100103>那麼等您有需要的時候可以隨時來找我。"
