key,0,1
#,Prologue,Epilogue
offset,0,4
int32,str,str
0,"",""
1,"如何，主人！<hex:02100103>我離主人有更近一步嗎？","主人，怎麼樣？<hex:02100103>我離主人有更近一步嗎？"
2,"主人，下一次試煉也請交給我吧！<hex:02100103>我們趕緊出發吧！","主人，下一次試煉也請交給我吧。<hex:02100103>我們趕緊出發吧！"
3,"和主人的試煉之旅充滿了艱辛……<hex:02100103>這一定是在考驗我的決心……","和主人的試煉之旅充滿了艱辛……<hex:02100103>這一定是在考驗我的決心……"
4,"這試煉真是艱難……<hex:02100103>但是一想到主人和我在一起，<hex:02100103>我就毫無畏懼！","這試煉真是艱難……<hex:02100103>但是一想到主人和我在一起，<hex:02100103>我就毫無畏懼！"
5,"主人，為什麼要用那麼認真的眼神看著我？<hex:02100103>是擔心我累了嗎？沒關係，我還能繼續戰鬥！","主人，為什麼要用那麼認真的眼神看著我？<hex:02100103>是擔心我累了嗎？沒關係，我還能繼續戰鬥！"
6,"這樣真的就可以得到新力量了嗎……<hex:02100103>……啊，我可不能說喪氣話！<hex:02100103>主人，我們快出發吧！","這樣真的就可以得到新力量了嗎……<hex:02100103>……啊，我可不能說喪氣話！<hex:02100103>主人，我們快出發吧！"
7,"快看，主人！<hex:02100103>我好像比以前更容易操縱力量了！<hex:02100103>等完成試煉以後，我一定會變得更加強大的！","快看，主人！<hex:02100103>我好像比以前更容易操縱力量了！<hex:02100103>等完成試煉以後，我一定會變得更加強大的！"
8,"怎麼樣……我沒有辜負主人的期待吧？<hex:02100103>為了能讓主人多依靠我，我會繼續加油的！","怎麼樣……我沒有辜負主人的期待吧？<hex:02100103>為了能讓主人多依靠我，我會繼續加油的！"
9,"至今為止主人給我的力量，<hex:02100103>已經漸漸凝聚起來了嗎……","至今為止主人給我的力量，<hex:02100103>已經漸漸凝聚起來了嗎……"
10,"我感覺還差一點就能控制這股力量了。","我感覺還差一點就能控制這股力量了。"
11,"我感覺這快要滿溢而出的力量已經凝聚在了一起。<hex:02100103>這就是試煉的成果嗎！","我感覺這快要滿溢而出的力量已經凝聚在了一起。<hex:02100103>這就是試煉的成果嗎！"
