key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESXMS002_00248_SEQ_00","※本任務是特定期間內的任務。<hex:02100103><hex:02100103>海霧村的星芒節執行委員，希望冒險者幫忙舉辦星芒節。"
1,"TEXT_FESXMS002_00248_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>和星芒節執行委員進行了交談，幫忙舉辦星芒節。首先裝備上<hex:02280BFF05>Item<hex:F224390103>，在觀海貿易路附近，或從海霧村各個房屋庭院中的星芒樹下回收<hex:022811FF0A>EventItem<hex:F61E8A720103>。"
2,"TEXT_FESXMS002_00248_SEQ_02","回收了<hex:022811FF0A>EventItem<hex:F61E8A720103>。將<hex:022811FF0A>EventItem<hex:F61E8A720103>交給觀海貿易路的星芒節執行委員。"
3,"TEXT_FESXMS002_00248_SEQ_03","將<hex:022811FF0A>EventItem<hex:F61E8A720103>交給了星芒節執行委員。接下來，將<hex:022811FF0A>EventItem<hex:F61E8A730103>送給觀海貿易路的享受節日的少年少女們。"
4,"TEXT_FESXMS002_00248_SEQ_04","將<hex:022811FF0A>EventItem<hex:F61E8A730103>交給了孩子們。向觀海貿易路的星芒節執行委員報告。"
5,"TEXT_FESXMS002_00248_SEQ_05","向星芒節執行委員報告完畢。在星芒節的活動期間中，孩子們會不斷將寫好的卡片放在星芒樹下。為了孩子們的笑容，有機會再去幫忙舉辦星芒節。"
6,"TEXT_FESXMS002_00248_SEQ_06",""
7,"TEXT_FESXMS002_00248_SEQ_07",""
8,"TEXT_FESXMS002_00248_SEQ_08",""
9,"TEXT_FESXMS002_00248_SEQ_09",""
10,"TEXT_FESXMS002_00248_SEQ_10",""
11,"TEXT_FESXMS002_00248_SEQ_11",""
12,"TEXT_FESXMS002_00248_SEQ_12",""
13,"TEXT_FESXMS002_00248_SEQ_13",""
14,"TEXT_FESXMS002_00248_SEQ_14",""
15,"TEXT_FESXMS002_00248_SEQ_15",""
16,"TEXT_FESXMS002_00248_SEQ_16",""
17,"TEXT_FESXMS002_00248_SEQ_17",""
18,"TEXT_FESXMS002_00248_SEQ_18",""
19,"TEXT_FESXMS002_00248_SEQ_19",""
20,"TEXT_FESXMS002_00248_SEQ_20",""
21,"TEXT_FESXMS002_00248_SEQ_21",""
22,"TEXT_FESXMS002_00248_SEQ_22",""
23,"TEXT_FESXMS002_00248_SEQ_23",""
24,"TEXT_FESXMS002_00248_TODO_00","裝備上<hex:02280BFF05>Item<hex:F224390103><hex:02100103>從星芒樹下獲取<hex:022811FF0A>EventItem<hex:F61E8A720103>"
25,"TEXT_FESXMS002_00248_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8A720103>交給星芒節執行委員"
26,"TEXT_FESXMS002_00248_TODO_02","裝備上<hex:02280BFF05>Item<hex:F224390103><hex:02100103>將<hex:022811FF0A>EventItem<hex:F61E8A730103>交給海霧村的孩子們"
27,"TEXT_FESXMS002_00248_TODO_03","向星芒節執行委員報告"
28,"TEXT_FESXMS002_00248_TODO_04",""
29,"TEXT_FESXMS002_00248_TODO_05",""
30,"TEXT_FESXMS002_00248_TODO_06",""
31,"TEXT_FESXMS002_00248_TODO_07",""
32,"TEXT_FESXMS002_00248_TODO_08",""
33,"TEXT_FESXMS002_00248_TODO_09",""
34,"TEXT_FESXMS002_00248_TODO_10",""
35,"TEXT_FESXMS002_00248_TODO_11",""
36,"TEXT_FESXMS002_00248_TODO_12",""
37,"TEXT_FESXMS002_00248_TODO_13",""
38,"TEXT_FESXMS002_00248_TODO_14",""
39,"TEXT_FESXMS002_00248_TODO_15",""
40,"TEXT_FESXMS002_00248_TODO_16",""
41,"TEXT_FESXMS002_00248_TODO_17",""
42,"TEXT_FESXMS002_00248_TODO_18",""
43,"TEXT_FESXMS002_00248_TODO_19",""
44,"TEXT_FESXMS002_00248_TODO_20",""
45,"TEXT_FESXMS002_00248_TODO_21",""
46,"TEXT_FESXMS002_00248_TODO_22",""
47,"TEXT_FESXMS002_00248_TODO_23",""
48,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_000","你來找我，就是說明你願意來幫忙了？<hex:02100103>謝謝你！冒險者！"
49,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_001","那麼，你就裝扮成聖人的追隨者，<hex:02100103>從海霧村的任意一棵星芒樹下回收1張<hex:022811FF0A>EventItem<hex:F61E8A720103>。"
50,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_002","……對了，說到星芒樹，<hex:02100103>除了由我們準備的節日星芒樹以外，<hex:02100103>你還可以去找冒險者們擺放在自己家庭院裡的。"
51,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_003","通過協助我們回收卡片，可以獲得落芒星。<hex:02100103>根據樹的種類不同，<hex:02100103>得到的落芒星的種類也不同。"
52,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_005","你可以用得到的落芒星去換取與星芒節有關的物品。<hex:02100103>具體情況去向旁邊的星芒節宣傳員諮詢。"
53,"TEXT_FESXMS002_00248_SYSTEM_000_001","導向地圖上會標出星芒樹的位置。<hex:02100103>請在冒險者住宅區中仔細尋找！"
54,"TEXT_FESXMS002_00248_SYSTEM_100_001","另外，由於<hex:022811FF0A>EventItem<hex:F61E8A720103>最多只能獲得1張，<hex:02100103>因此考慮好想交換的物品之後，再去相應的星芒樹下回收卡片吧。"
55,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_004","你就裝扮成聖人的追隨者，<hex:02100103>從海霧村的任意一棵星芒樹下回收1張<hex:022811FF0A>EventItem<hex:F61E8A720103>。"
56,"TEXT_FESXMS002_00248_SYSTEM_000_002","導向地圖上會標出星芒樹的位置。<hex:02100103>請在冒險者住宅區中仔細尋找！"
57,"TEXT_FESXMS002_00248_SYSTEM_100_002","另外，由於<hex:022811FF0A>EventItem<hex:F61E8A720103>最多只能獲得1張，<hex:02100103>因此考慮好想交換的物品之後，再去相應的星芒樹下回收卡片吧。"
58,"TEXT_FESXMS002_00248_SYSTEM_000_010","在執行部分任務時，需要裝備上<hex:02280BFF05>Item<hex:F224390103>。"
59,"TEXT_FESXMS002_00248_SYSTEM_000_011","如果沒有<hex:02280BFF05>Item<hex:F224390103>，<hex:02100103>可以通過和星芒節宣傳員對話獲得<hex:02280BFF05>Item<hex:F224390103>。"
60,"TEXT_FESXMS002_00248_GUIDE65784_000_012","哎呀，你把<hex:02280BFF05>Item<hex:F224390103>丟了？<hex:02100103>那我再給你一件好了。<hex:02100103>拿好！"
61,"TEXT_FESXMS002_00248_POPMESSAGE_000_013","獲得了<hex:02280BFF05>Item<hex:F224390103>。"
62,"TEXT_FESXMS002_00248_VOLUNTEER65784_000_020","冒險者！你回來了啊！<hex:02100103>怎麼樣，回收來<hex:022811FF0A>EventItem<hex:F61E8A720103>了嗎？"
