key,0
#,Text
offset,0
int32,str
0,""
1,"確定要進行布置嗎？<hex:02100103>布置之後會變成舊品，無法再到市場上出售。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
2,"確定要進行布置嗎？<hex:02100103>該物品一經布置便無法再次回收。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
3,"確定要進行布置嗎？<hex:02100103>該物品無法在市場上出售或交易。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>※此為收費道具，在布置時請留意以上幾點。"
4,"確定要進行布置嗎？<hex:02100103>該物品一經布置便無法再次回收。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:0249020103><hex:0248020103>"
5,"確定要進行布置嗎？<hex:02100103>該物品無法在市場上出售或交易。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
6,"確定要進行布置嗎？<hex:02100103>該物品無法在市場上出售。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
7,"確定要進行布置嗎？<hex:02100103>該物品無法在市場上出售或交易，且一經使用便無法再次回收。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>※此為收費道具，在布置時請留意以上幾點。"
8,"確定要進行布置嗎？<hex:02100103>該物品無法在市場上出售或交易，且一經使用便無法再次回收。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
9,"確定要進行布置嗎？<hex:02100103>該物品一旦經過設定，便無法在市場上出售，且一經使用便無法再次回收。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>另外，根據房屋、傢具的種類，<hex:02100103>在下列情況下，可能會喪失對其的權利。<hex:02100103>·被其他玩家撤除<hex:02100103>·從部隊除名或退出部隊<hex:02100103>·解除房屋共享<hex:02100103>·土地被回收<hex:0249020103><hex:0248020103>"
