key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_000","歡迎來到「魔女咖啡館」。<hex:02100103>彙集在森林之都格里達尼亞的冒險者們都會來這裡休養生息。"
1,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_001","為了使遭受第七靈災破壞的森林恢復原來的樣子，<hex:02100103>格里達尼亞很需要你們這樣的冒險者。<hex:02100103>請務必助我們一臂之力。"
2,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_002","雖然有些人很討厭外來者，<hex:02100103>不過他們的想法也在一點點地發生改變……<hex:02100103>我相信你們一定會帶來一股正氣之風的。"
3,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_010","你回來啦，<hex:022903EB0203>。<hex:02100103>你現在情況如何？"
4,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_011","每當有人在談論的時候，我都會去聆聽，<hex:02100103>期待人們提起你的名字。<hex:02100103>以後，肯定每天都會聽人們提到你的名字吧！"
5,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_020","歡迎來到「魔女咖啡館」。<hex:02100103>彙集在森林之都格里達尼亞的冒險者們都會來這裡休養生息。"
6,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_021","歡迎來到格里達尼亞。<hex:02100103>請飲用我特製的茶水，好好放鬆一下吧。<hex:02100103>希望你能為這個國家出一份力。"
7,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_030","辛苦了，<hex:022903EB0203>。<hex:02100103>你也來喝杯茶吧。"
8,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_031","讓我們把「茶」言歡吧。<hex:02100103>大家都很期待你精彩的冒險故事呢！"
9,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_040","哎呀，<hex:022903EB0203>，<hex:02100103>歡迎來到我的咖啡館。<hex:02100103>這裡彙集了許多人的思念，這對於我來說是十分寶貴的。"
10,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_041","因為我們決定要接納更多的冒險者了，所以忙得不可開交。<hex:02100103>托你的福，每天都會有很多人來到這裡，可熱鬧了。<hex:02100103>我仿佛可以看到斐加加他們的笑顏呢。"
11,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_050","<hex:022903EB0203>，你平安無事就好！<hex:02100103>烏爾達哈的事我多少也有所了解。"
12,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_051","放心，格里達尼亞認識你的人都相信你是清白的，<hex:02100103>不會讓人在城邦內對你出手的。"
13,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_052","冒險者公會也正在尋找能夠協助你們的方法。<hex:02100103>所以你就專心繼續你自己的戰鬥就好。"
14,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_060","我這邊也聽說你洗清了嫌疑。<hex:02100103>真是太好了……這麼一來我也能放心了。"
15,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_061","不過，就算現在已經沒有追兵了，<hex:02100103>但你依然不能太過悠閒吧？<hex:02100103>你快去吧……到你應該前往的那片大地，完成你該做的事情。"
16,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_070","最近格里達尼亞的居民都非常關注阿拉米格的動向，<hex:02100103>甚至都有些神經質了……<hex:02100103>大家擔心戰火會蔓延到黑衣森林。"
17,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_080","<hex:022903EB0203>，<hex:02100103>聽說在基姆利特爆發了戰爭，直到現在也還未平息。<hex:02100103>為了不安的民眾們，冒險者公會也需要更加賣力才行。"
18,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_090","啊，你從加雷馬回來啦。<hex:02100103>多虧你的努力，黑衣森林這邊的塔也被解決了。<hex:02100103>快好好休息休息，平復戰鬥的疲勞吧。"
19,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_100","世界各地都出現了危機，黑衣森林這邊也有偽神獸出現了。<hex:02100103>為了不安的民眾，我也會做自己力所能及的事情。"
20,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_110","<hex:022903EB0203>，我很感謝你拯救了我們的星球。<hex:02100103>但其實，你的平安歸還，才是最令我高興的事情。"
21,"TEXT_REGFSTCARLINECANOPY_00156_MIOUNNE_000_111","怎麼樣，坐下來喝杯茶如何？<hex:02100103>大家全都盼星星盼月亮，期待著你的冒險故事呢！"
