key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_000","真擔心、我們會不會被、趕出、去……"
1,"TEXT_CTSETCAOZGAHEELJA_00565_Q1_000_000","要做什麼？"
2,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_001","交換天青圖騰"
3,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_002","詢問有關青魔法師"
4,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_003","詢問有關青魔法書"
5,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_004","對話"
6,"TEXT_CTSETCAOZGAHEELJA_00565_A1_000_005","取消"
7,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_010","這是仿照、瓦拉其族傳統、的圖騰，<hex:02100103>將青魔法、的知識封印、在裡面、的東西……<hex:02100103>現在、的你、應該可、以運用它、了吧。"
8,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_015","非常、抱歉，<hex:02100103>現在沒法、把天青圖騰、交給、你……"
9,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_020","青魔法師、起源於、居住、在<hex:02100103>新大陸的、少數部族、瓦拉其族、的魔法。"
10,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_021","崇拜、自然萬物、的他們為了、讓自己接近、信仰的對象，<hex:02100103>研究出了、能將野獸、魔物的魔法、化為己物的、技術。"
11,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_022","也就是、挑起野獸、魔物的敵、意，<hex:02100103>引發魔法現象、後再將其、打倒，<hex:02100103>吸取其生命之源、的乙太。"
12,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_023","大師、成功地學會了、這個秘技，<hex:02100103>並將其稱、為「學習」。"
13,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_024","並取瓦拉其族、視為神聖、的顏色<hex:02100103>將這個、新的魔法體、系命名、為青魔法。<hex:02100103>大師成為了、青魔法師、的第一人。"
14,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_025","可以說、能夠操縱世界各地的野獸、魔物所使用、魔法的青魔法師，<hex:02100103>其可能性、是無限、的……"
15,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_030","青魔法書、是大師在艾歐澤亞、旅行時，<hex:02100103>將從野獸、魔物那裡、學到的青魔法、記錄成的、書籍。"
16,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_031","至於、為什麼、只記錄了、學習的地點，<hex:02100103>據大師說、自己出發、去尋找、也是修行的、一環。<hex:02100103>拿著這本、魔導書、你就努力、去修行吧。"
17,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_032","順便說一句、雖然、宣傳說是、數量有限，<hex:02100103>但庫存、有很、多富餘……"
18,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_040","我和拉圖迦、也姑且算是、青魔法師。<hex:02100103>在輝鱗人中、我們被、稱為布涅瓦族，<hex:02100103>天生就、擁有強大、的魔力。"
19,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_050","沒想到、大師有著、拯救瓦拉其族、的遠大志向。<hex:02100103>他要是、跟我們、表明就、好了……<hex:02100103>不過、我們倒是、也幫不上、忙。"
20,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_060","扮演啟示者、的瓦斯特拉哈、先生是<hex:02100103>學會了、各種青魔法的、高手。<hex:02100103>要想贏他、需要學會更多的、青魔法、吧……"
21,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_070","你居然、贏了扮演啟示者、的瓦斯特拉哈、先生，<hex:02100103>這樣你就、完全超越大師、了呢。<hex:02100103>今後也、期待你的、表現！"
22,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_080","你的、青魔法書上、追記了、新的青魔法。<hex:02100103>請你努力、去學習。<hex:02100103>不過話說、大師到底、是什麼時候、寫上去的呢？"
23,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_090","聽說、即將和大師戰鬥、的齊格弗里德、是正規鬥技場的、<hex:02100103>明星什麼的……<hex:02100103>這也是、青魔法師、出名的、好機會呢。"
24,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_100","新裝的、齊格弗里德手持、帝國製的武器、<hex:02100103>有著、多種多樣的、攻擊方式。<hex:02100103>為了贏得、比賽、請你學會更多種類的、青魔法。"
25,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_110","你漂亮地、打倒了齊格弗里德、<hex:02100103>為大師報仇了呢。<hex:02100103>今後我、也會期待你的、活躍表現！"
26,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_200","你的、青魔法書上、又追記了、新的青魔法。<hex:02100103>這都、歸功於、青魔法師公會、的冒險者們。<hex:02100103>請努力、學習吧。"
27,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_210","格格他、逐個學習了、假面狂歡裡的、魔物的技能，<hex:02100103>請你、千萬不要輸。"
28,"TEXT_CTSETCAOZGAHEELJA_00565_GAHEELJA_000_220","恭喜你、贏了格格！<hex:02100103>期待你、今後的、表現！"
29,"TEXT_CTSETCAOZGAHEELJA_00565_TALK_ACTOR","（★未使用／削除予定★）"
30,"TEXT_CTSETCAOZGAHEELJA_00565_000_000","（★未使用／削除予定★）"
31,"TEXT_CTSETCAOZGAHEELJA_00565_000_001","（★未使用／削除予定★）"
32,"TEXT_CTSETCAOZGAHEELJA_00565_000_002","（★未使用／削除予定★）"
33,"TEXT_CTSETCAOZGAHEELJA_00565_000_003","（★未使用／削除予定★）"
34,"TEXT_CTSETCAOZGAHEELJA_00565_000_004","（★未使用／削除予定★）"
35,"TEXT_CTSETCAOZGAHEELJA_00565_000_005","（★未使用／削除予定★）"
36,"TEXT_CTSETCAOZGAHEELJA_00565_000_006","（★未使用／削除予定★）"
37,"TEXT_CTSETCAOZGAHEELJA_00565_000_007","（★未使用／削除予定★）"
38,"TEXT_CTSETCAOZGAHEELJA_00565_000_008","（★未使用／削除予定★）"
39,"TEXT_CTSETCAOZGAHEELJA_00565_000_009","（★未使用／削除予定★）"
