key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_001","哎呀，是旅行者啊？<hex:02100103>歡迎來到世界知識之都——舊薩雷安。<hex:02100103>有什麼想要了解的嗎？"
1,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_002","你好，是拂曉血盟的人吧。<hex:02100103>真沒想到居然會做出向星外大撤退的決定……<hex:02100103>有什麼想要了解的嗎？"
2,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_003","你好，來自拂曉的英雄。<hex:02100103>聽說你一度跑到了宇宙盡頭啊……<hex:02100103>你有什麼想要了解的嗎？"
3,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_004","哎呀，來自拂曉的英雄。<hex:02100103>歡迎回到知識之都——舊薩雷安。<hex:02100103>有什麼想要了解的嗎？"
4,"TEXT_REGNOT5OLDSHARLAYAN_00738_Q1_000_000","想了解什麼？"
5,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_001","你是做什麼的？"
6,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_002","這裡是什麼地方？"
7,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_003","取消"
8,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_100","我叫瓦梅梅，是薩雷安魔法大學的外聘講師。<hex:02100103>主攻自然地理學，負責研究從古至今<hex:02100103>各地的地形和氣候變遷。"
9,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_101","我習慣利用授課的空檔在這裡吹吹海風。<hex:02100103>或許正是這個原因，時常有迷路的人來找我問路，<hex:02100103>搞得我現在有點像是個負責指路的了。"
10,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_200","這裡是聞名世界的學術城邦薩雷安。<hex:02100103>在遭遇第六靈災的大洪水之際，祖先紐恩克雷夫將救下的人們<hex:02100103>帶回北洋建起了村落，之後便發展成了這個城邦。"
11,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_201","由於原來那座位於龍堡內陸低地的殖民都市<hex:02100103>在艾歐澤亞人眼中更為有名，於是人們就把那裡當成了薩雷安。<hex:02100103>這裡不知何時起就只好叫舊薩雷安了。"
12,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_202","如今這裡學術種類繁多，<hex:02100103>還正在編纂有記錄了世界所有知識的世界圖鑑，<hex:02100103>實乃推動世界知識進步發展的動力源泉。"
13,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_203","而這座古老的城市如今也處於動蕩之中。<hex:02100103>畢竟哲學家議會已經明確決定捨棄星球進行大撤退。<hex:02100103>因此我們今後的生活都會發生極大的改變。"
14,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_204","可即便是這座古老的城市，如果遭遇了末日將會變得怎樣呢……<hex:02100103>你們就是為了徹底消滅其根源才要前往宇宙盡頭的吧？<hex:02100103>這裡的所有人都期盼著你們能平安歸來。"
15,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_205","而如今這座古老的城市之所以能夠恢復和平，<hex:02100103>也都是多虧了你們能解決末日的危機。<hex:02100103>所以我也不能輸給你們，要努力研究才行！"
