key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESANV2018GUIDE_00508_Q1_000_000","談點什麼？"
1,"TEXT_FESANV2018GUIDE_00508_A1_000_002","詢問有關「新生慶典」"
2,"TEXT_FESANV2018GUIDE_00508_A1_000_003","詢問有關「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」"
3,"TEXT_FESANV2018GUIDE_00508_A1_000_004","取消"
4,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_000","所謂新生慶典，主旨為悼念在第七靈災中喪生的人們，<hex:02100103>並向在靈災中奮勇作戰的英雄「光之戰士們」表達感謝。"
5,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_001","本次「新生慶典」將會參考「第七靈災」時<hex:02100103>帝國軍入侵和妖異出現的情況<hex:02100103>在烏爾達哈市區進行軍事演習。"
6,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_010","這次的軍事演習得到了黑渦團和雙蛇黨的協助，<hex:02100103>也接受冒險者的參加申請。<hex:02100103>請你也務必參加。"
7,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_020","恆輝隊舉辦的這次軍事演習，我們黑渦團也會提供協助，<hex:02100103>也接受冒險者的參加申請。<hex:02100103>請你也務必參加。"
8,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_030","恆輝隊舉辦的這次軍事演習，我們雙蛇黨也會提供協助，<hex:02100103>也接受冒險者的參加申請。<hex:02100103>請你也務必參加。"
9,"TEXT_FESANV2018GUIDE_00508_Q2_000_000","想了解什麼？"
10,"TEXT_FESANV2018GUIDE_00508_A2_000_001","關於「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」"
11,"TEXT_FESANV2018GUIDE_00508_A2_100_001","關於參加「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」"
12,"TEXT_FESANV2018GUIDE_00508_A2_000_002","關於危命任務"
13,"TEXT_FESANV2018GUIDE_00508_A2_000_003","關於組隊功能"
14,"TEXT_FESANV2018GUIDE_00508_A2_000_004","返回"
15,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_040","這次軍事演習，是假定都市受到了帝國軍和妖異的進攻，<hex:02100103>將烏爾達哈的一角封鎖起來並在那裡進行的。"
16,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_041","「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」<hex:02100103>是從單人最多到滿編小隊（8人），可以任意人數參加，<hex:02100103>攻略恆輝隊市區軍事演習的季節活動任務。"
17,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_042","只有等級在30級以上的戰鬥菁英或魔法導師才可參加。"
18,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_043","另外，「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」設有等級同步限制<hex:02100103>角色等級將自動同步到50級。"
19,"TEXT_FESANV2018GUIDE_00508_SYSTEM_100_043","並且，「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」設有品級同步限制，<hex:02100103>所有裝備的性能將被調整到「110級」以下。"
20,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_044","同時，與通常的副本任務不同，<hex:02100103>一個區域中可同時容納最多144位玩家。<hex:02100103>請與其他玩家互相協助進行攻略。"
21,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_045","本次軍事演習將在新生慶典期間不定期舉行。<hex:02100103>參加時，請在慶典期間找嚮導提出申請。"
22,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_046","「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」<hex:02100103>只能在季節活動任務開放的特定期間內申請參加。"
23,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_047","另外，「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」的可參加時間段內<hex:02100103>會出現「市區軍事演習的嚮導」，<hex:02100103>與其對話便可參加。"
24,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_050","軍事演習中會發生突發狀況，<hex:02100103>請各位參加者協力應對，<hex:02100103>確認狀況，擊敗敵方部隊。"
25,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_051","「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」<hex:02100103>與通常的副本任務不同，<hex:02100103>場地中會出現危命任務。"
26,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_052","完成危命任務可獲得<hex:02100103>用於交換季節活動獎勵的<hex:02100103><hex:02280BFF05>Item<hex:F25B550103>。"
27,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_060","軍事演習中出現的狀況很難單獨應對。<hex:02100103>請與其他參加者合作，擊敗敵方部隊。"
28,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_061","「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」<hex:02100103>與通常的副本任務不同，<hex:02100103>任務中可以使用參加小隊、邀請隊員、離開小隊、解散小隊等功能。"
29,"TEXT_FESANV2018GUIDE_00508_A1_000_001","（★未使用／削除予定★）"
30,"TEXT_FESANV2018GUIDE_00508_TALK_ACTOR","（★未使用／削除予定★）"
