key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGNOR4LAMON_00630_LAMON_000_000","這裡的患者當中也有無法自己吃飯的人。<hex:02100103>為了顧及這樣的患者，我會想出各種辦法做飯。<hex:02100103>雖然很辛苦，但是很值得。"
1,"TEXT_REGNOR4LAMON_00630_LAMON_000_010","不不不不不！<hex:02100103>我做的飯跟以前一樣啊？！<hex:02100103>沒有加什麼奇怪的東西……"
2,"TEXT_REGNOR4LAMON_00630_LAMON_000_020","哈哈……啊哈哈哈哈……<hex:02100103>開玩笑的吧，泰絲琳……怎麼會……哈哈……"
3,"TEXT_REGNOR4LAMON_00630_LAMON_000_030","泰絲琳不在之後，肚子還是會餓。<hex:02100103>那我必須去做飯才行。<hex:02100103>泰絲琳一定也是這麼期望的吧。"
4,"TEXT_REGNOR4LAMON_00630_LAMON_000_040","……夜晚的黑暗真是漂亮啊。<hex:02100103>好想讓泰絲琳也看看。"
5,"TEXT_REGNOR4LAMON_00630_LAMON_000_050","……不管是夜晚的黑暗回來了，<hex:02100103>還是光回來了，肚子還是會餓。<hex:02100103>那我會繼續做飯直到最後一刻。"
6,"TEXT_REGNOR4LAMON_00630_LAMON_000_060","那個美麗的夜晚又回來了。<hex:02100103>放下心來之後，食慾就上來了。<hex:02100103>為了避免不夠吃的，得去做飯了。"
